prefered placename	tgn id	latitude	longitude	tgn placetype	place category	google maps	Comment	Uncertainty	name var 1	name var 2	name var 3	name var 4	name var 5	name var 6	name var 7	name var 8	name var 9	name var 10	name var 11	name var 12	name var 13	name var 14	name var 15	name var 16	name var 17	name var 18	name var 19	name var 20	name var 21	name var 22	name var 23	name var 24	name var 25	name var 26	name var 27	name var 28	name var 29	name var 30	name var 31	name var 32	name var 33	name var 34	name var 35	name var 36
Anshu	1066563	26.25	105.933333	Inhabited place	Point	https://www.google.com/maps/place/26.25+105.933333	highly uncertain, Anshun is a city in middle/southern China	true	Anshu, North China																																			
Antung	7002198	40.129167	124.394722	Inhabited place	Point	https://www.google.com/maps/place/40.129167+124.394722	via map	true	Antung																																			
Aoyama	1079812	34.6	136.2167	Inhabited place	Point	https://www.google.com/maps/place/34.6+136.2167	There are two cities in Japan, the other one is in today's Tokyo prefecture: https://de.wikipedia.org/wiki/Aoyama	true	Aoyama	Aoyama, Japan																																		
Ayuthia, Siam	7000948	14.283	100.5	Province	Polygon	https://www.google.com/maps/place/14.283+100.5		false	Ayuthia, Siam																																			
Bac-Ninh, Tonkin	1087051	21.1833	106.05	Inhabited place	Point	https://www.google.com/maps/place/21.1833+106.05		false	Bac-Ninh Tonkin	Bacninh	Bacninh, Tonkin																																	
Baclieu	1087050	9.2833	105.7333	Inhabited place	Point	https://www.google.com/maps/place/9.2833+105.7333		false	Baclieu	Baclieu, Cochin-China	Baclieu, Cochinchine	Baclien, Cochinchine																																
Balanga	1083989	14.6833	120.55	Inhabited place	Point	https://www.google.com/maps/place/14.6833+120.55		false	Balanga	Balanga, Philippines,																																		
Balek Pulan		5.35	100.233333		Point	https://www.google.com/maps/place/5.35+100.233333	This is a district of Penang, Malaysia and might have to be put there	TRUE	Balek Pulan, Penang	Balek Pulan	Balek Pulau	Balek Pulau, Penang																																
Banam	1087171	10.3833	105.4167	Inhabited place	Point	https://www.google.com/maps/place/10.3833+105.4167	TGN for Long Xuyen; seemingly the monastery of Banam was located there	true	Banam	Long Xuyen	Banam, Cochin China																																	
Bandau		4.417254	114.949949		Point	https://www.google.com/maps/place/+	No tgn available	false	Bandau, British North Borneo	Bandau																																		
Bandoeng	7002853	-6.95	107.5667	Inhabited place	Point	https://www.google.com/maps/place/-6.95+107.5667	https://de.wikipedia.org/wiki/Bandung	false	Bandoeng																																			
Bangkok	7000983	13.753	100.501	Inhabited place	Point	https://www.google.com/maps/place/13.753+100.501		false	Bangkok	Bangkok.	(Chingmai) Bangkok	Baugkok																																
Banguey		7.25	117.166667		Point	https://www.google.com/maps/place/7.25+117.166667		false	Banguey, British North Borneo	Banguey																																		
Banplasoi, Siam		13.366667	100.983056		Point	https://www.google.com/maps/place/13.366667+100.983056	At least in the modern day, it is a district of Chon Buri, Thailand/Siam	true	Banplasoi, Siam	Banplasoi																																		
Banxang		19.871292	102.237943		Point		No TGN, but Village location is quite clear - lies in Laos at the moment but has been a part of Thailand/Siam at various times in the past - i.e. WWII	true	Banxang	Banxang, Siam																																		
Baoha, Tonkin		22.190278	104.367778		Point	https://www.google.com/maps/place/22.190278+104.367778		false	Baoha	Baoha, Tonkin																																		
Baria, Cochin-China		10.510281	107.180676		Point			FALSE	Baria	Baria, Cochin-China																																		
Batang Padang		4.083333	101.333333		Polygon	https://www.google.com/maps/place/4.083333+101.333333	No TGN; Coordinates have been placed apporximately close to the centre of this important administrative sub-unit/district of Perak, Malaysia	false	Batang Padang	Batang Padang, Perak	Batan Padang, Perak	Batan Padang																																
Batangas, Philippines	1084025	13.75	121.05	Inhabited place	Point	https://www.google.com/maps/place/13.75+121.05		false	Batangas, Philippines	Batangas																																		
Batavia	7002854	-6.1333	106.75	Inhabited place	Point	https://www.google.com/maps/place/-6.1333+106.75	Modern: Jakarta, Indonesia	false	Batavia	B’via																																		
Battambang	1066360	13.1	103.2	Inhabited place	Point	https://www.google.com/maps/place/13.1+103.2		false	Battambang, Indo-China	Battambang	Battambang, Siam																																	
Batu Gajah	1082686	4.45	101.0333	Inhabited place	Point	https://www.google.com/maps/place/4.45+101.0333		false	Batu Gajah	Batu Gajah, Perak	Batu-Gajah, Perak																																	
																																												
Batu Pahat	1082686	4.45	101.0333	Inhabited place	Point	https://www.google.com/maps/place/4.45+101.0333		false	Batu Gajah, Kinta, Perak	Batu Gajah	Batu Gojah, Perak	Batu Pahat	Batu Pahat, Johore																															
Ben-thuy, Annam		18.648849	105.717851		Point			false	Ben Thuy, Annam	Ben Thuy	Benthuy, Annam	Ben-thuy, Annam																																
Bengkalis	1077486	1.45	102.1667	Inhabited place	Point	https://www.google.com/maps/place/1.45+102.1667		false	Bengkalis	Bengkalis, Sumatra																																		
Bentong	1082698	3.5333	101.9167	Inhabited place	Point	https://www.google.com/maps/place/3.5333+101.9167		false	Bentong	Bentong, Pahang																																		
Bentré, Cochin-China	1087264	10.2333	106.3833	Inhabited place	Point	https://www.google.com/maps/place/10.2333+106.3833		false	Bentré	Bentré, Cochin-China	Bentre, Cochinchine	Bentré, Cochinchine	Bentré, Cochin-china	Bêntré, Cochin-China																														
Bienhoa, Cochin-China	1087066	10.9667	106.8333	Inhabited place	Point	https://www.google.com/maps/place/10.9667+106.8333		false	Bienhoa	Bienhoa, Cochinchine	Bienhoa, Cochin-China																																	
Bilit		5.501446	118.219074		Point			false	Bilit, B. N. Borneo	Bilit																																		
Bindinh, Tonkin		20.276496	105.865049			https://www.google.com/maps/place/20.276496+105.865049	location for temple installation in Bái Đính	true	Bindinh, Tonkin																																			
																																												
Binhdinh, Annam	7594807	14.166667	109	Province	Polygon	https://www.google.com/maps/place/14.166667+109		FALSE	Binhdinh	Binhdinh, Annam																																		
Binh-phu, Annam		15.625833	108.324167		Point			false	Binhphu	Binhphu, Annam	Binh-phu, Annam																																	
Blagowestschensk	7014759	50.3167	127.5	Inhabited place	Point	https://www.google.com/maps/place/50.3167+127.5		false	Blagowestschensk, Siberia	Blagowestshensk, Eastern Siberia	Blagowechensk, Siberia	Blagowestschensk	Blagowestschensk, Eastern Siberia																															
Bongau		5.02917	119.77306		Point			false	Bongau, British North Borneo	Bongau																																		
Bongmieu, Annam	1087077	15.4167	108.4	Inhabited place	Point	https://www.google.com/maps/place/15.4167+108.4		false	Bongmieu	Bongmieu, Annam																																		
British North Borneo	7018970	5.5	117	State (political division)	Polygon	https://www.google.com/maps/place/5.5+117		false	B. N. B.	B.N. B.	B.N.B.	B. N. B’neo	B. N. Borneo	B.N. Borneo	Borneo	British North B’neo	British North Borneo																											
Brunei	1000107	4.5	114.6667	Nation	Polygon	https://www.google.com/maps/place/4.5+114.6667		false	Brunei	Brunei, N. B.	Brunei, Borneo																																	
Buichu, Tonkin		20.304301	106.337053				Diocèse de Bui Chu	true	Buichu	Buichu, Tonkin																																		
Bulacan	1001162	15	121.0833	Province	Polygon	https://www.google.com/maps/place/15+121.0833		false	Bulacan, Philippines	Bulacan																																		
Bundu		5.535749	115.541873			https://www.google.com/maps/place/5.535749+115.541873		false	Bundu, British North Borneo	Bundu																																		
Cabagan	1084081	17.4333	121.75	Inhabited place	Point	https://www.google.com/maps/place/17.4333+121.75		false	Cabagan	Cabagan, Philippines	Cobagan, Philippines																																	
Cac Ba, Tonkin	1006740	-20.8333	107	Island (landform)	Polygon	https://www.google.com/maps/place/-20.8333+107		false	Cac Ba, Tonkin																																			
Cagayan	1001171	18	121.8333	Province	Polygon	https://www.google.com/maps/place/18+121.8333		false	Cagayan	Cagayan, Philippine	Cagayan, Philippines																																	
Calbayog	1084102	12.0667	124.6333	Inhabited place	Point	https://www.google.com/maps/place/12.0667+124.6333		false	Calbayog, Philippines	Calboyog, Philippines																																		
Cambodge	1000109	13	105	Nation	Polygon	https://www.google.com/maps/place/13+105		false	Cambodge	Carnbodge	Cambodia	Camboge																																
Camkhé, Tonkin		21.423584	105.065004			https://www.google.com/maps/place/21.423584+105.065004		false	Camkhé, Tonkin																																			
Cantho, Cochin China	1087088	10.0333	105.7833	Inhabited place	Point	https://www.google.com/maps/place/10.0333+105.7833		false	Cantho, Cochin China	Cantho, Cochinchine	Canthó, Cochinchine																																	
Canton	7018040	23.116667	113.25	Inhabited place	Point	https://www.google.com/maps/place/23.116667+113.25		false	Canton	Canton.	C’ton	Cantor																																
Caoayan		17.51834	120.41428			https://www.google.com/maps/place/17.51834+120.41428		false	Caoayan, Philippines	Caoayan																																		
Caobang, Tonkin	1087089	22.6667	106.2667	Inhabited place	Point	https://www.google.com/maps/place/22.6667+106.2667		false	Caobang, Tonkin																																			
Cap St. Jaques	1087282	10.35	107.0667	Inhabited place	Point	https://www.google.com/maps/place/10.35+107.0667	Today: Vung Tau (https://en.wikipedia.org/wiki/V%C5%A9ng_T%C3%A0u)	false	Cap St. Jaques	Cap St. Jaques, Cochinchine	Cap St. Jaques, Conchinchine	Cap. St. Jaques, Cochin Cnine	Cap. St. Jaques, Cochinchine																															
Cape St. James		10.316667	107.083333			https://www.google.com/maps/place/10.316667+107.083333		false	Cape St. James																																			
Carlatan		16.635287	120.319692			https://www.google.com/maps/place/16.635287+120.319692		false	Carlatan, Philippines	Carlatan																																		
Cebu	1001185	10.321	123.754	Province	Polygon	https://www.google.com/maps/place/10.321+123.754		false	Cebu	Cebú	Cébu	Cebu, Philippines	Cebú, Philippines	Cebu, Phillippines	Gebu	Cebù																												
Cercle de Langson, Tonkin	1087162	21.852639	106.76101	Inhabited place	Point	https://www.google.com/maps/place/21.852639+106.76101	A military unit operating from Langson, though covering more than one city	true	Cercle de Langson, Tonkin																																			
Ch'ing-chowfu	1139978	36.696667	118.479722	Inhabited place	Point	https://www.google.com/maps/place/36.696667+118.479722		false	Ch'ing-chowfu, Shantung	Ch'ing-chowfu	Ch'ing-chou-fu, Shantung	Ch'ingchou-fu, Shantung																																
Chandoc, Cochin-China		10.7	105.116667			https://www.google.com/maps/place/10.7+105.116667		false	Chandoc, Cochin-China	Chaudoc, Cochin-China																																		
Changchow	1073899	24.513333	117.655556	Inhabited place	Point	https://www.google.com/maps/place/24.513333+117.655556	via map	true	Changchow	Chiang-chiu, Fuhkien																																		
Changchun		43.886944	125.324722			https://www.google.com/maps/place/43.886944+125.324722		false	Changchun																																			
Changsha		28.196111	112.972222			https://www.google.com/maps/place/28.196111+112.972222		false	Changsha	C'sha																																		
Changshan		28.900773	118.518924			https://www.google.com/maps/place/28.900773+118.518924		false	Changshan, Chekiang	Changshan																																		
Changtu	1072268	42.293056	123.841389	Inhabited place	Point	https://www.google.com/maps/place/42.293056+123.841389	Changtu is a district in the city Tieling, uncertain	true	Changtu																																			
Chantabun		12.6	102.15			https://www.google.com/maps/place/12.6+102.15		false	Chantabun, Siam	Chantabun																																		
Chaoyang		41.566667	120.45			https://www.google.com/maps/place/41.566667+120.45		false	Ch'aoyang, Mongolia	Chaoyang																																		
Chaudoc, Cochinchine	1087093	10.7	105.05	Inhabited place	Point	https://www.google.com/maps/place/10.7+105.05		false	Chaudoc, Cochinchine																																			
Chefoo	8679590	37.533333	121.4	Inhabited place	Point	https://www.google.com/maps/place/37.533333+121.4	via map	true	Chefoo	Cliefoo	C'foo																																	
Chefoo	8679590	37.533333	121.4	Inhabited place	Point	https://www.google.com/maps/place/37.533333+121.4	May be Chefoo or an OCR error	true	Chefop																																			
Chekiang	7002076	29.166667	120	Province	Polygon	https://www.google.com/maps/place/29.166667+120		false	Chekiang	Chekiang Province	Chehkiang																																	
Chemulpo	7000998	37.4667	126.6333	Inhabited place	Point	https://www.google.com/maps/place/37.4667+126.6333		false	Chemulpo	Chemulpo Corea	Chemulpo, Corea	Chemuplo, Corea																																
Chenan						https://www.google.com/maps/place/+	not found	false	Chenan, Southern Hupeh	Chenan																																		
Chengku		33.154031	107.335081			https://www.google.com/maps/place/33.154031+107.335081		true	Chengku, Shensi	Chengku																																		
Chengtu	7001761	30.666667	104.066667	Inhabited place	Point	https://www.google.com/maps/place/30.666667+104.066667		false	Chengtu, Szechuen	Chentu, Szechuen	Chéntu, Szechuen																																	
Cheokiakeo						https://www.google.com/maps/place/+	No place found via Getty, Google, Google maps.	true	Cheokiakeo, Hona	Cheokiakeo, Honam	Cheokiako, Honan	Cheo-kia-kéo, Honan																																
Chernigowka	1137069	49.6167	129.95	Inhabited place	Point	https://www.google.com/maps/place/49.6167+129.95	three different Chernigovka in the vicinity	true	Chernigowka, Eastern Siberia																																			
Chiangchew	1073899	24.513333	117.655556	Inhabited place	Point	https://www.google.com/maps/place/24.513333+117.655556		false	Chiangchew, Fokien	Chiangchew																																		
Chiangmai	7005219	18.8	98.9833	Inhabited place	Point	https://www.google.com/maps/place/18.8+98.9833		false	Chiangmai	Chiangmai, Siam	Chingmai, Siam	Chengmai, Siam	Chiengmai, Siam																															
Chiangpei		29.781667	106.495278			https://www.google.com/maps/place/29.781667+106.495278		false	Chiangpei, Szechuen	Chiangpei																																		
Chichou	1139218	37.562222	115.558889	Inhabited place	Point	https://www.google.com/maps/place/37.562222+115.558889		false	Chichou, Chilhi	Chichou																																		
Chichow	1139218	37.562222	115.558889	Inhabited place	Point	https://www.google.com/maps/place/37.562222+115.558889	several possibilities	true	Chichow, Chihli	Chichow																																		
Chihli	7002077	39	115.666667	First level subdivision	Polygon	https://www.google.com/maps/place/39+115.666667		false	Chihli	Chili																																		
China	1000111	35	105	Nation	Polygon	https://www.google.com/maps/place/35+105		false	China																																			
Chinanfoo	7001483	36.683333	117.05	Inhabited place	Point	https://www.google.com/maps/place/36.683333+117.05	seems to be Jinan	true	Chinanfoo	Chinanfoo, Shangtung	Chinanfoo, Shantung																																	
Chinchow	7001482	41.107778	121.141667	Inhabited place	Point	https://www.google.com/maps/place/41.107778+121.141667		false	Chinchow	Chinchow, Manchuria																																		
Chinkiang	7001779	32.210863	119.455076	Inhabited place	Point	https://www.google.com/maps/place/32.210863+119.455076		false	Chingkiang	Chinkiang	Chinkiang.																																	
Chinnampo	7002227	38.737	125.407	Inhabited place	Point	https://www.google.com/maps/place/38.737+125.407		false	Chinnampo	Chinnampo, C’sen																																		
Chinwangtao	1071115	39.931667	119.588333	Inhabited place	Point	https://www.google.com/maps/place/39.931667+119.588333		false	Chingwantao	Chinwangtao																																		
Cho Bo		20.767733	105.166557			https://www.google.com/maps/place/20.767733+105.166557		false	Cho-bo, Tonkin	Chobo, Tonkin	Cho Bo																																	
Chofu	1079875	35.65	139.55	Inhabited place	Point	https://www.google.com/maps/place/35.65+139.55		false	Chofu, Japan	Chofu																																		
Cholon	1004283	10.7333	106.65	Neighborhood	Point	https://www.google.com/maps/place/10.7333+106.65		false	Cholon	Cholon, Cochinchina	Cholon, Cochinchine	Cholon, Saigon	Cholon, Cochin China	Cholon, Cochin-China																														
Chongtshun		22.53	113.35			https://www.google.com/maps/place/22.53+113.35	coordinates for Zhongshan	true	Chongtshun, Kwangtung	Chongtshun																																		
Choquan, Cochin China	7001069	10.75	106.6667	Inhabited place	Point	https://www.google.com/maps/place/10.75+106.6667	seems to be part of Ho Chi Minh City	true	Choquan, Cochin China	Choquan, Cochin-China																																		
Chosen	7000299	37	127.5	Nation	Polygon	https://www.google.com/maps/place/37+127.5		false	Chosen																																			
Chucheo, Chekiang						https://www.google.com/maps/place/+	Not found	true	Chucheo, Chekiang																																			
Chuchow-fu	1071195	28.959444	118.868611	Inhabited place	Point	https://www.google.com/maps/place/28.959444+118.868611		false	Chuchow-fu, Chekiang	Chuchow-fu																																		
Chugking	7001787	29.562778	106.552778	Inhabited place	Point	https://www.google.com/maps/place/29.562778+106.552778	as Chongqing	false	Chugking	Chungkin																																		
Chuki	8685113	32.325686	109.723369	Inhabited place	Point	https://www.google.com/maps/place/32.325686+109.723369		false	Chuki, Mid-China	Chuki																																		
Chukshan		22.1875	108.578			https://www.google.com/maps/place/22.1875+108.578		false	Chukshan, Kwangsi	Chukshan																																		
Chung-hua	7001465	24.479794	118.081869	Inhabited place	Point	https://www.google.com/maps/place/24.479794+118.081869	uncertain, TGN for Xiamen, seems to be a district of	true	Chinghwa	Chung-hua																																		
Chungkiang	8675458	31.03959	104.674476	Inhabited place	Point	https://www.google.com/maps/place/31.03959+104.674476	Very similar to: Chinkiang (maybe same place?)	true	Chungkiang																																			
Chungking	7001787	29.562778	106.552778	Inhabited place	Point	https://www.google.com/maps/place/29.562778+106.552778		false	Chungking																																			
Cochin China	6001494	11	107	General region	Polygon	https://www.google.com/maps/place/11+107		false	Cochin China	Cochin-China	Cochinchina	Cochinchine																																
Corea	7000299	37	127.5	Nation	Polygon	https://www.google.com/maps/place/37+127.5	TGN for South Corea, may need to be defined manually	true	Corea																																			
Cua-vist, Annam		16.910499	107.174698			https://www.google.com/maps/place/16.910499+107.174698	location for Cửa Việt	true	Cua-vist, Annam																																			
Cuatung, Annam		17.023056	107.110417			https://www.google.com/maps/place/17.023056+107.110417		true	Cuatung, Annam																																			
Cumong, Annam						https://www.google.com/maps/place/+	Not found	true	Cumong, Annam																																			
Dairen	7002197	38.912222	121.602222	Inhabited place	Point	https://www.google.com/maps/place/38.912222+121.602222		false	Dairen																																			
Daitotei	7489943	25.11531	121.531783	Inhabited place	Point	https://www.google.com/maps/place/25.11531+121.531783	3 getty results, all close to each other.  https://en.wikipedia.org/wiki/Twatutia	true	Daitotei	Daitotei, Formosa																																		
Dapcau, Tonkin		21.202809	106.094734			https://www.google.com/maps/place/21.202809+106.094734		false	Dapcau, Tonkin																																			
Darao						https://www.google.com/maps/place/+		false	Darao																																			
Darvel Bay		4.843312	118.451843			https://www.google.com/maps/place/4.843312+118.451843		false	Darvel Bay, British North Borneo	Darvel Bay,																																		
Datong	8208835	40.093611	113.291389	Inhabited place	Point	https://www.google.com/maps/place/40.093611+113.291389		false	Tatongfu, Shansi	Datong																																		
Davao	1084177	7.073	125.612	Inhabited place	Point	https://www.google.com/maps/place/7.073+125.612		false	Davao	Davao, P.l.																																		
Dindings		4.333333	100.666667			https://www.google.com/maps/place/4.333333+100.666667		false	Dindings																																			
Dong Hoi, Annam	1087112	17.468	106.622	Inhabited place	Point	https://www.google.com/maps/place/17.468+106.622	Places seems to be in Annam, third entry (Tonkin) is strange	true	Dong Hoi, Annam	Donghoi, Annam	Donghoi, Tonkin																																	
Donkabuang		13.811839	99.875949			https://www.google.com/maps/place/13.811839+99.875949		true	Donkabuang, Siam	Donkabuang																																		
Donkho, Laos		15.153683	105.73844			https://www.google.com/maps/place/15.153683+105.73844		false	Donkho, Laos																																			
East Coast of Sumatra						https://www.google.com/maps/place/+	Not specific region/location	true	East Coast of Sumatra	E. C. Sumatra																																		
Eastern Siberia	7011548	null	null	General region	Polygon	https://www.google.com/maps/place/null+null	TGN for Siberia region	true	Eastern Siberia	Eastern Sib																																		
Etajima	1079927	34.25	132.5	Inhabited place	Point	https://www.google.com/maps/place/34.25+132.5		false	Etajima-Aki, Japan	Etajima																																		
Faifo	1087137	15.9	108.3167	Inhabited place	Point	https://www.google.com/maps/place/15.9+108.3167		false	Faifo, Annam																																			
Fatshan	7018049	23.026771	113.131483	Inhabited place	Point	https://www.google.com/maps/place/23.026771+113.131483		false	Fatshan, Canton	Fatshan																																		
Federated Malay States	8711654	4	102.1	Former territory/Colony/Dependent state	Polygon	https://www.google.com/maps/place/4+102.1		false	Federated Malay States	F. M. S	F. M. S.	F.M.S	F.M.S.	F.MS.	F.M'.S.																													
Fokien	7001796	26.25	118	Province	Polygon	https://www.google.com/maps/place/26.25+118		false	Fokien																																			
Foochow	1068154	27.95999	116.333333	Inhabited place	Point	https://www.google.com/maps/place/27.95999+116.333333		false	Foochow																																			
Formosa	1000141	24	121	Nation	Polygon	https://www.google.com/maps/place/24+121		false	Formosa	South Formosa																																		
Fukagawa	1004503	35.6667	139.8	Neighborhood	Point	https://www.google.com/maps/place/35.6667+139.8	part of Yokohama, today Tokyo	true	(Fukagawa) Yokohama																																			
Fukien	7001796	26.25	118	Province	Polygon	https://www.google.com/maps/place/26.25+118		false	Fukien																																			
Fukuoka, Japan		33.568739	130.356748			https://www.google.com/maps/place/33.568739+130.356748		false	Fukuoka	Fukuoka, Japan	Fúkuoka, Japan																																	
Fukuyama	7016660	34.4833	133.35	Inhabited place	Point	https://www.google.com/maps/place/34.4833+133.35		false	Fukuyama, Japan	Fukuyama																																		
Fukwing	8199914	22.670433	113.810683	Fourth level subdivision	Polygon	https://www.google.com/maps/place/22.670433+113.810683		false	Fukwing, Kwangtung	Fukwing																																		
Funabashi	1079961	35.7	139.9833	Inhabited place	Point	https://www.google.com/maps/place/35.7+139.9833		false	Funabashi	Funabashi, Chiba, Japan																																		
Fusan	7000996	35.0833	129.0333	Inhabited place	Point	https://www.google.com/maps/place/35.0833+129.0333		false	Fusan	Fusan, Corea																																		
Gensan	7002230	39.152	127.443	Inhabited place	Point	https://www.google.com/maps/place/39.152+127.443		false	Gensan	Gensan, Corea																																		
Giadinh, Cochin-China	1087117	10.8	106.7	Part of inhabited place	Polygon	https://www.google.com/maps/place/10.8+106.7		false	Giadinh, Cochin-China																																			
Gifu	7004481	35.45	136.7667	Inhabited place	Point	https://www.google.com/maps/place/35.45+136.7667		false	Gifu, Japan	Gifu																																		
Gocong	1087119	10.8333	106.8333	Inhabited place	Point	https://www.google.com/maps/place/10.8333+106.8333		false	Gocong, Cochin-China	Gocong	Gocong, Cochinchine																																	
Habarovsk	7014787	48.5	135.1	Inhabited place	Point	https://www.google.com/maps/place/48.5+135.1		false	Habarovsk	Habarofsk, Siberia	Chabaroffsk, Siberia	Chabaroffsk	Khabarowka, Siberia																															
Hagiang	1087122	22.8333	104.9833	Inhabited place	Point	https://www.google.com/maps/place/22.8333+104.9833		false	Hagiang, Tonkin	Hagiang																																		
Haichêng	1139053	40.851582	122.747537	Inhabited place	Point	https://www.google.com/maps/place/40.851582+122.747537	two locations with the same name in the Manchuria region	true	Haichêng, Manchuria	Haichêng																																		
Haiduong	1087127	20.9333	106.3167	Inhabited place	Point	https://www.google.com/maps/place/20.9333+106.3167		false	Haiduong	Haiduong, Tonkin																																		
Hainan	7001800	19.25	109.75	Province	Polygon	https://www.google.com/maps/place/19.25+109.75		false	Hainan																																			
Haininh		21.501	107.4296			https://www.google.com/maps/place/21.501+107.4296		false	Haininh	Haininh, Tonkin																																		
Haiphong	7001067	20.8667	106.6833	Inhabited place	Point	https://www.google.com/maps/place/20.8667+106.6833		false	H'phong	H’phong	H’phong.	H'Phong	Haiphong	Haiphong.	Haiph																													
Hakodate	7004843	41.7667	140.7333	Inhabited place	Point	https://www.google.com/maps/place/41.7667+140.7333		false	Hakodate	Hakodate, Japan																																		
Hamada	1080037	34.9333	132.0667	Inhabited place	Point	https://www.google.com/maps/place/34.9333+132.0667		false	Hamada, Japan	Hamada																																		
Hanam	7594819	20.533333	105.966667	Province	Polygon	https://www.google.com/maps/place/20.533333+105.966667		false	Hanam	Hanam, Tonkin																																		
Hangchow	7001806	30.29365	120.161419	Inhabited place	Point	https://www.google.com/maps/place/30.29365+120.161419		false	Hangchow	H’chow	Hangchow, Chekiang	H'chow																																
Hanhong	8204091	36.6388	112.204	Fourth level subdivision	Polygon	https://www.google.com/maps/place/36.6388+112.204		false	Hanchong, Shensi	Hanhong, Shensi	Hanhong																																	
Hankow	7018028	30.583333	114.266667	Inhabited place	Point	https://www.google.com/maps/place/30.583333+114.266667		false	Hankow	H'kow	Honkow	Haukow	Hangkow	Hankok	H’kow	Teh-ngan, Hankow																												
Hanoi	7001070	21.0167	105.8667	Inhabited place	Point	https://www.google.com/maps/place/21.0167+105.8667		false	Hanoi																																			
Hanyang		30.5397	114.2119			https://www.google.com/maps/place/30.5397+114.2119		true	Hanyang	Hanyang, Hupeh																																		
Harbin	7002066	45.75	126.65	Inhabited place	Point	https://www.google.com/maps/place/45.75+126.65		false	Harbin	Harbni	Haroin																																	
Hatien	1087125	10.4	104.5	Inhabited place	Point	https://www.google.com/maps/place/10.4+104.5		false	Hatien	Hatien, Cochinchine	Hatien, Cochinchina																																	
Hatinh	1087126	18.35	105.9167	Inhabited place	Point	https://www.google.com/maps/place/18.35+105.9167	Hodo is uncertain	true	Hatinh	Hatinh, Annam	Hodo, Annam																																	
Hatinh, Tonkin	1087126	18.35	105.9167	Inhabited place	Point	https://www.google.com/maps/place/18.35+105.9167	geographically part of Annam, but seems to be regarded politically as part of Tonkin	true	Hatinh, Tonkin																																			
Hiaokan	1072825	30.9167	113.9	Inhabited place	Point	https://www.google.com/maps/place/30.9167+113.9		false	Hiaokan																																			
Hiephoa, Annam		15.586111	108.009722			https://www.google.com/maps/place/15.586111+108.009722		false	Hiephoa, Annam																																			
Himeji	7004486	34.8333	134.6667	Inhabited place	Point	https://www.google.com/maps/place/34.8333+134.6667		false	Himeji, Japan	Himegi, Japan																																		
Hiogo	1004712	34.65	135.1667	Neighborhood	Point	https://www.google.com/maps/place/34.65+135.1667		false	Hiogo																																			
Hiroshima	7004499	34.3833	132.45	Inhabited place	Point	https://www.google.com/maps/place/34.3833+132.45		false	Hiroshima	Hiroshima, Japan																																		
Ho-shi-tun						https://www.google.com/maps/place/+	Not found	true	Ho-shi-tun																																			
Ho-tsin	1068667	35.58	110.699722	Inhabited place	Point	https://www.google.com/maps/place/35.58+110.699722		false	Ho-tsin, Shansi																																			
Hoabinh	1087133	20.8167	105.3333	Inhabited place	Point	https://www.google.com/maps/place/20.8167+105.3333		false	Hoabinh	Hoabinh, Tonkin																																		
Hochau	8204050	35.236111	110.139722	Inhabited place	Point	https://www.google.com/maps/place/35.236111+110.139722	tgn for Heyang; very uncertain	true	Hochau, Shansi	Hochau																																		
Hoihow	1068538	20.045833	110.341667	Inhabited place	Point	https://www.google.com/maps/place/20.045833+110.341667		false	Hoihow	Hoiliow																																		
