H.B.M.S. "Undaunted"	SHIP	
H.B.M.S. "Victor Emanuel"	SHIP	
H.B.M.S. “ Pique ”	SHIP	
H.B.M.S. “ Rainbow ”	SHIP	
H.B.M.S. “Porpoise”	SHIP	
H.B.M.S. “Undaunted”	SHIP	
H.B.M.S., "Swift"	SHIP	
H.E.M.S. “	SHIP	
H.I. German M. flagship "Kaiser"	SHIP	
H.I. German M. S. "Prinzess Wilhelm"	SHIP	
H.I. German M.S. "Arcona"	SHIP	
H.I. German M.S. "Cormoran"	SHIP	
H.I. German M.S. "Irene"	SHIP	
H.I. German M.S. “ Arcona”	SHIP	
H.I.G.M. flagship "Kaiser"	SHIP	
H.M.S. "Plover"	SHIP	
H.SiameseM.S. "Mahachakkri ’	OCR ERROR	
H’kong and Canton	TWO PLACES	
Haiphong and Hano	TWO PLACES	
Haiphong and Hanoi	TWO PLACES	
Hamada, Japan	ADDED	
Hangch	OCR SHORT?	
Hangcho	OCR SHORT?	
Hangchow, Chekiang	ADDED	
Hankow and Chungking	TWO PLACES	
Hankow and Kewkiang	TWO PLACES	
Hankow and Shanghai	TWO PLACES	
Hanoi and Namdinh	TWO PLACES	
Hanoi Hotel	NO LOCATION	
Hatien, Cochinchina	ADDED	
Hatinh, Tonkin	ADDED	
Hiao-kan Hankow	OCR ERROR	
Himegi, Japan	ADDED	
Himeji, Japan	ADDED	
Ho	OCR SHORT?	
Hoih	OCR SHORT?	
Hong-yen, Tonkin	ADDED	
Hongkc	OCR SHORT?	
Hongkong & Bangkok	TWO PLACES	
Hongkong and Amoy	TWO PLACES	
Hongkong and Bangkok	TWO PLACES	
Hongkong and Calcutta	TWO PLACES	
Hongkong and Canton	TWO PLACES	
Hongkong and Haiphong	TWO PLACES	
Hongkong and Haiphong (absent)	TWO PLACES	
Hongkong and Japan	TWO PLACES	
Hongkong and Macao	TWO PLACES	
Hongkong and Manila	TWO PLACES	
Hongkong and North Borneo	TWO PLACES	
Hongkong and Shanghai	TWO PLACES	
Hongkong and Shanghai 1	OCR ERROR	
Hongkong and Singapore	TWO PLACES	
Hongkong and Whampoa	TWO PLACES	
Hongkong it Bangkok	OCR ERROR	
Hongkong it Canton	OCR ERROR	
Hongyuen, Tonkin	ADDED	
Hungyen, Tonkin	ADDED	
Hutchison	SHIP	
Hwai-luh-hsien, Chihli		couldn't be found
Hwanghsein, Chefoo	TWO PLACES	
Hyogo	ADDED	
Ichow-fu, Shantung	ADDED	
Iioilo	ADDED	
Ilocos, Filipinos	ADDED	
Iloilo and Cebu	TWO PLACES	
Imperial Lniv	NO LOCATION	
Inconstant	NO LOCATION	
Irene	SHIP	
Isé Province, Japan	ADDED	
Isly	SHIP	
J~ ~e °-	OCR ERROR	
Jai	OCR ERROR	
Jaj	OCR ERROR	
Jap	OCR ERROR	
Jar	OCR ERROR	
Jaro, Iloilo	ADDED	
Jaro, Philippines	ADDED	
Jasin, Malacca	ADDED	
Jautshiche, Eastern Siberia	OCR ERROR	
Jr. Penang	PARSING ERROR	
Kaiser	OCR ERROR	
Kajang, Selangor	ADDED	
Kamphong Thom, Cambodia	ADDED	
Kangboe, Fukien	ADDED	
Kanghau	ADDED	
Kanghau, Kwangtung	ADDED	
Kayingchu, Kwangtung		not found seems to be the location of one of the Basel missions
Kebao, Tonkin	ADDED	
Kébao, Tonkin	ADDED	
Kewkiang and Hankow	TWO PLACES	
Kewkiang and Shanghai	TWO PLACES	
Khabarowka, Siberia	ADDED	
Kiangse Province	ADDED	
Kiangshan, Chekiang	ADDED	
Kiating, Szechuen	ADDED	
Kin-men, Southern Hupeh	ADDED	
Kinchow, Chekiang		couldn't be found
Kinchow, Southern Hupeh	ADDED	
Kinhwa, Ningpo	TWO PLACES	
Kioto, Japan	ADDED	
Kobe and Nagasaki	TWO PLACES	
Kobe and Yokohama	TWO PLACES	
Kobe and Yokohama (absent)	TWO PLACES	
Kofu, Japan	ADDED	
Koishikawa, Japan	ADDED	
Kompongthom, Cambodia	ADDED	
Kowloon, H’kong	ADDED	
Kuanguen, Szechuen		couldn't be found
Kuangüen, Szechuen		couldn't be found
Kudat, British North Borneo	ADDED	
Kuhtsing, Yunnan		couldn't be found missionary station
Kwala Kubu, Selangor	ADDED	
Kwala Lumpor, Selangor	ADDED	
Kwang-si	ADDED	
Kwei-hsien, Kwangse	ADDED	
Kwei-hwa-chén, Shansi	ADDED	
Kyoto, Japan	ADDED	
Labuan, British North Borneo	ADDED	
Lahat, Perak	ADDED	
Lakwan, Siam		couldn't be found missionary station
Lampilao, Fuhkien		couldn't be found
Lan-cheo, Kansuh	ADDED	
Lanchow	ADDED	
Lao Kay, Tonkin	ADDED	
Lao-ho-keo, Hankow	TWO PLACES	
Lao-ho-kéo, Hupeh	ADDED	
Laotian Regions, Siam	ADDED	
Lappa Macao	ADDED	
Legaspi, Philippines	ADDED	
Lienchow	ADDED	
Lienchow, Kwangtung	ADDED	
Limbang, Sarawak	ADDED	
Linching, North China	ADDED	
Lingwu	ADDED	
Linshiang, Hunan	ADDED	
Longxuyen Cochin-China	ADDED	
Longxuyen, Tonkin	ADDED	
Lu-ngan-fu, Shansi	ADDED	
Lui-chau, Kwangse	ADDED	
Lungan-fu, Shansi	ADDED	
M	OCR ERROR	
M. M. steamer "Tamise,"	SHIP	
M. M. steamer “ Aréthuse," Saigon and Haiphong	SHIP	
Machias	NO LOCATION	
Macoa	ADDED	
Maebashi, Japan	ADDED	
Magallanes Philippines	ADDED	
Malabon, Manila	ADDED	
Manila and Iloilo	TWO PLACES	
Mastue, Japan	ADDED	
Matsumoto, Japan	ADDED	
Mekhlong, Siam	ADDED	
Mêng	OCR SHORT?	
Mêngtszu	ADDED	
Mêngtzu	ADDED	
Mi	OCR ERROR	
Mindanao, Philippines	ADDED	
Moji, Japan	ADDED	
Moji, Japon	ADDED	
Molo, Iloilo	ADDED	
Molo, Philippines	ADDED	
Mongtszu	ADDED	
Monocacy	SHIP	
Muangnan, Siam	ADDED	
Mytho, Cochin China	ADDED	
Mytho, Cochin-China	ADDED	
Mythó, Cochin-China	ADDED	
Nagasaki and Kobe	TWO PLACES	
Nagasaki and Yokohama	TWO PLACES	
Nagasaki Dock and I	OCR ERROR	
Nakayama, Japan	ADDED	
Nam Dinh, Tonkin	ADDED	
Nam-ngai, Annam	ADDED	
Nantziang, Kiangtzu	ADDED	
Nganking, Anhwei	ADDED	
Ngo Dong, Tonkin		seems to be a river, tough not in Tonkin
Nha-trang, Annam	ADDED	
Nicolajefsk	ADDED	
Nicolajewsk	ADDED	
Nicolajewsk, Siberia	ADDED	
Nicolsk	ADDED	
Nicolsk, Eastern Siberia	ADDED	
Ninbinh, Tonkin	ADDED	
Ninghai	ADDED	
Ninghai, Shantung	ADDED	
North Bo	OCR SHORT?	
Northern Hupeh	ADDED	
Nowokieffsk, Siberia	ADDED	
Nueva Caceres, Philippines	ADDED	
Obispado, Iloilo	ADDED	
Ockseu, Amoy	TWO PLACES	
Okayama, Japan	ADDED	
Olympia	SHIP	
Osaka & Kobe	TWO PLACES	
Osaka and Kobe	TWO PLACES	
Oussourie ’’	OCR ERROR	
P. & O. S. N. Co.'s "Verona,"	SHIP	
P. & O. S. N. Co.'s steamer "Ancona"	SHIP	
P'ang-chuang, Shantung	ADDED	
Pacheo, Kansuh		couldn't be found
Pakaoi	ADDED	
Paklioi	OCR ERROR	
Pampanga, Philippines	ADDED	
Pampangor, Philippines	ADDED	
Paoningfu, Szechuen	ADDED	
Paoting-fu, Chihli	ADDED	
Papar, British North Borneo	ADDED	
Patatan, British North Borneo	ADDED	
Peacock	SHIP	
Pekin	ADDED	
Penang and Singapore	TWO PLACES	
Perak Sikhs, Perak	PARSING ERROR	
Petchaburee, Siam	ADDED	
Petrel	SHIP	
Petrieu, Siam	ADDED	
Phatdiem, Tonkin	ADDED	
Philipines	ADDED	
Philippii	ADDED	
Phnompenh, Cochin China	ADDED	
Phnompent, Cambodia	ADDED	
Phompenh, Cambodia	ADDED	
Phulang-thuang, Tonkin	ADDED	
Phulang-Thuang,Tonkin	ADDED	
Phulang-Thuong, Tonkin	ADDED	
Ping Yang-foo, Shansi	ADDED	
Ping-yang-fu, Shansi	ADDED	
Pingtu, Shantung	ADDED	
Pique	OCR ERROR	
Pnompenh, Cambodge	ADDED	
Pnompenh, Cambodia	ADDED	
Porpoise	SHIP	
Pratomtanee, Siam		couldn't be found
Prinzess Wilhelm	SHIP	
Province Wellesley'	OCR ERROR	
Public Works	NO LOCATION	
Pursat, Cambodia	ADDED	
Quang Yen, Tonkin	ADDED	
Quang-yen, Tonkin	ADDED	
Quanyen, Tonkin	ADDED	
Quiapo, Manila	ADDED	
Rainbow	SHIP	
Rasdolnoc, Eastern Siberia	ADDED	
Rawang, Selangor	ADDED	
Redpole	SHIP	
Roman Catholic missionary	PARSING ERROR	
Russian cruiser "Admiral Nahimoff"	SHIP	
Russian cruiser "Dmitry-Donskoy"	SHIP	
Russian cruiser "Kreyser"	SHIP	
Russian cruiser "Pamiat Azova"	SHIP	
Russian cruiser "Rurik"	SHIP	
Russian cruiser "Vladimir Monomah"	SHIP	
Russian cruiser "Zabiaka"	SHIP	
Russian cruiser “ Gaidamak ”	SHIP	
Russian cruiser “ Pamiat-Azova”	SHIP	
Russian cruiser, "Admiral Kormiloff"	SHIP	
Russian cruiser, "Admiral Korniloff"	SHIP	
Russian cruiser, "Dmitry-Donskoy"	SHIP	
Russian cruiser, "Zabiaka"	SHIP	
Russian gun vessel "Gremiatshy"	SHIP	
Russian gun vessel "Otvajny"	SHIP	
Russian gun-vessel, "Mandjour"	SHIP	
Russian gunvessel "Bobr"	SHIP	
Russian gunvessel "Groziastchy"	SHIP	
Russian gunvessel "Koreyetz"	SHIP	
Russian gunvessel "Mandjour"	SHIP	
Russian gunvessel "Otvajny"	SHIP	
Russian gunvessel "Sivoutch"	SHIP	
Russian gunvessel “ Gremiatshy ”	SHIP	
Russian ironclad "Emperor Nicolas"	SHIP	
Russian Pacific Squadron	NO LOCATION	
Russian Pacific Squdron	NO LOCATION	
Russian torpedo cruiser “ Vsadnik ”	SHIP	
S’ghai	ADDED	
Sadec, Saigon	TWO PLACES	
Saga, Japan	ADDED	
Saigon & Haiphong	TWO PLACES	
Saigon and Haiphong	TWO PLACES	
Saigon and Hanoi	TWO PLACES	
Sandakan, British N. Bornoe	ADDED	
Sarawak and Singapore	TWO PLACES	
Scoul	OCR ERROR	
Sebetan, Sarawak	ADDED	
Second Russian Pacific Squadron	NO LOCATION	
Sepang, Selangor	ADDED	
Sepatak, Selangor	ADDED	
Setapak, Selangor	ADDED	
Shan Hai Kwan	ADDED	
Shan-hai-kwan	ADDED	
Shang-szu, Kwangso	ADDED	
Shanghai (abt.)	ADDED	
Shanghai an l Hankow	TWO PLACES	
Shanghai and Foochow	TWO PLACES	
Shanghai and Hankow	TWO PLACES	
Shanghai and Hankow (absent)	TWO PLACES	
Shanghai and Hongkong	TWO PLACES	
Shanghai and Icliang	TWO PLACES	
Shanghai and Ilankow	TWO PLACES	
Shanghai and Ivewkiang	TWO PLACES	
Shanghai and Kewkiang (absent)	TWO PLACES	
Shanghai and Tientsin	TWO PLACES	
Shanghai and Tientsin (absent)	TWO PLACES	
Shanghai anfl Hankow	TWO PLACES	
Shanghai it Hankow	TWO PLACES	
Shanghal	ADDED	
Shangkai	ADDED	
Shaohsing, Chekiang Province	ADDED	
Shœ-ki-tien, Honan		couldn't be found
Si-ngan district, Shen-si	ADDED	
Siang-hsien, Honan	ADDED	
Sihchau, Shansi	ADDED	
Sin	OCR SHORT?	
Sin'pore	ADDED	
Singagore	ADDED	
Singaj	OCR ERROR	
Singapc	OCR ERROR	
Singapo	OCR SHORT?	
Singapore and Hongkong	TWO PLACES	
Singapore and Johore	TWO PLACES	
Singapore and Malacca	TWO PLACES	
Singat	OCR SHORT?	
Singhi, Sarawak	ADDED	
Sit	OCR SHORT?	
Sli	OCR SHORT?	
Soaikieng, Cambodia	ADDED	
Soctrang, Cochin-China	ADDED	
Spartan	SHIP	
Spassk, Eastern Siberia	ADDED	
steamer "Ancona,"	SHIP	
steamer "Ask,"	SHIP	
steamer "Chi-yuen"	SHIP	
steamer "Chowfa"	SHIP	
steamer "Choysang,"	SHIP	
steamer "Esang,"	SHIP	
steamer "Esmeralda,"	SHIP	
steamer "Fatshan,"	SHIP	
steamer "Fooksang,"	SHIP	
steamer "Formosa,"	SHIP	
steamer "Frejr,"	SHIP	
steamer "Hae-shin"	SHIP	
steamer "Hae-ting,"	SHIP	
steamer "Haean,"	SHIP	
steamer "Haeting,"	SHIP	
steamer "Hailoong"	SHIP	
steamer "Haiphong,"	SHIP	
steamer "Hecuba,"	SHIP	
steamer "Heungshan,"	SHIP	
steamer "Hohenzollern,"	SHIP	
steamer "Hongkong,"	SHIP	
steamer "Hsin-fung"	SHIP	
steamer "Hsin-yu,"	SHIP	
steamer "Hsin-yü,"	SHIP	
steamer "Hydra,"	SHIP	
steamer "Irene"	SHIP	
steamer "Keongwai,"	SHIP	
steamer "Kiang-foo	SHIP	
steamer "Kiang-kwan"	SHIP	
steamer "Kiang-teen,"	SHIP	
steamer "Kiang-tung,"	SHIP	
steamer "Kiangkwan,"	SHIP	
steamer "Kiangteen,"	SHIP	
steamer "Kungping,"	SHIP	
steamer "Kutsang,"	SHIP	
steamer "Kwangchi"	SHIP	
steamer "Kwongsang"	SHIP	
steamer "Lyeemoon,"	SHIP	
steamer "Meifoo,"	SHIP	
steamer "Meifoo"	SHIP	
steamer "Nanyang,"	SHIP	
steamer "Pasig"	SHIP	
steamer "Peiyang,"	SHIP	
steamer "Phra Chom Klao,"	SHIP	
steamer "Poo-chi,"	SHIP	
steamer "Powan,"	SHIP	
steamer "Rajah Brooke,"	SHIP	
steamer "Siam,"	SHIP	
steamer "Sungkiang,	SHIP	
steamer "Tai On,"	SHIP	
steamer "Tamise,"	SHIP	
steamer "Thales,"	SHIP	
steamer "Tibre,"	SHIP	
steamer "Tigris,"	SHIP	
steamer "Too-nan,"	SHIP	
steamer "Wingsang,"	SHIP	
steamer "Wosang,"	SHIP	
steamer "Yiksang,"	SHIP	
steamer "Yuensang"	SHIP	
steamer "Yung-ching,"	SHIP	
steamer "Yungching,"	SHIP	
steamer "Zafiro,"	SHIP	
steamer "Zafiro"	SHIP	
steamer “ Chw’n-shan,”	SHIP	
steamer “ Kwang-chi,”	SHIP	
steamer “Chw’n Shan,”	SHIP	
steamer “Kwongsang,”	SHIP	
steamer “Memnon,"	SHIP	
steamer “Si Shan,”	SHIP	
steamer “Y-	SHIP	
Suchow-fu, Szechuen	ADDED	
Süchow-fu, Szechuen	ADDED	
Sui-fu, Szechuen	ADDED	
Sungari, Manchuria	ADDED	
Sungei Ujong and Selangor	TWO PLACES	
Sungoi Ujong	ADDED	
Sunjei Ujong	ADDED	
Sur de Luzon, Philippines	ADDED	
Sutschan, Eastern Siberia	ADDED	
Swatotw	ADDED	
Swatow and Hongkong (absent)	TWO PLACES	
Swatow and Straits	TWO PLACES	
T'aian-fu, Shantung	ADDED	
T'ung-chow, Chihli	ADDED	
T’ung-chou, Chihli	ADDED	
Ta-tong-fu, Shansi	ADDED	
Tai-chow-fu, Chekiang	ADDED	
Tai-yuen-fu, Shansi	ADDED	
Taibinh, Tonkin	ADDED	
Taichow, Chekiang Province	ADDED	
Taiwanfoo	ADDED	
Taiyuen-fu, Shansi	ADDED	
Taiyuenfoo, Shansi	ADDED	
Takow and Hongkong	TWO PLACES	
Takowand Amoy	TWO PLACES	Takow and Amoy
Talisay, Isla de Negro, Philippines	ADDED	
Tamsui and Amoy	TWO PLACES	
Tan-an, Cochin-China	ADDED	
Tanan, Cochin China	ADDED	
Tangchou, Chili	ADDED	
Tao-tin-tia, South Formosa	ADDED	
Tayabas, Pilippines	ADDED	
Tayninh, Cochin-China	ADDED	
Te-gan-ton, Hupeh		couldn't be found
Teh-ngan, Hankow	ADDED	
Tengchowfoo, Shantung	ADDED	
Thái-nguyên, Tonkin	ADDED	
Thaibenh, Tonkin	ADDED	
Thaibin, Tonkin	ADDED	
Tháinguyên, Tonkin	ADDED	
Thanh Hoa, Annam	ADDED	
Thuankhanh, Annam	ADDED	
Thudaumot, Cochin China	ADDED	
Tientsin and Shanghai	TWO PLACES	
Tokushima, Japan	ADDED	
Tokuyama, Japan	ADDED	
Tokyo (absent)	PARSING ERROR	Absent needs to be removed
Toncheo district, Shensi	ADDED	
Tong-an, Fukien	ADDED	
Tong-ch'uan, Yunnan		couldn't be found
Tongcheo district, Shensi	ADDED	
Tongku, Chihli	ADDED	
Tongshan	ADDED	
Tongshan, Chihli	ADDED	
Tottori, Japan	ADDED	
Tremuche, Eastern Siberia	ADDED	
Trusan, Sarawak	ADDED	
Ts'in-cheo, Kansuh	ADDED	
Ts'ing-kiang-pu, Kiangsu	ADDED	
Ts’in-cheo, Kansuh	ADDED	
Tschu-Thongau, Kwangtung	ADDED	
Tsing-kiang-pu, Kiangsu	ADDED	
Tsingkiangpu	ADDED	
Tsiningchow	ADDED	
Tsou-p'ing-fu Shantung	ADDED	
Tsou-p'ing-fu, Shantung	ADDED	
Tsun-hwa, Chihli	ADDED	
Tumsui	ADDED	
Tungchou, Chihli	ADDED	
Tungchowfu	ADDED	
Tuyen Quang, Tonkin	ADDED	
Tuyên Quang, Tonkin	ADDED	
Tuyen-quan, Tonkin	ADDED	
Tuyen-quang, Tonkin	ADDED	
U. S. A. flagship "Olympia"	SHIP	
U. S. A. gunvessel "Petrel"	SHIP	
U. S. A. Squadron in Asia	SHIP	
U. S. cruiser "Charleston"	SHIP	
U. S. cruiser "Detroit"	SHIP	
U. S. cruiser "Yorktown"	SHIP	
U. S. flagship "Olympia"	SHIP	
U. S. gunboat "Machias"	SHIP	
U. S. S. "Charleston"	SHIP	
U. S. S. "Concord"	SHIP	
U. S. S. "Olympia"	SHIP	
U. S. S. Concord	SHIP	
U. S. S. Petrel	SHIP	
U. S. Squadron in Asia	SHIP	
U.S. cruiser "Concord"	SHIP	
U.S. cruiser "Detroit"	SHIP	
U.S. cruiser "Yorktown"	SHIP	
U.S. cruiser “Detroit”	SHIP	
U.S. cruiser “Yorktown”	SHIP	
U.S. flagship "Olympia"	SHIP	
U.S. flagship “ Olympia "	SHIP	
U.S. flagship “ Olympia ”	SHIP	
U.S. flagship “Olympia	SHIP	
U.S. gunboat "Machias"	SHIP	
U.S. gunboat "Monocacy"	SHIP	
U.S. gunboat “ Machias ”	SHIP	
U.S. gunvessel "Petrel"	SHIP	
U.S. gunvessel, "Monocacy"	SHIP	
U.S. S. "Charleston"	SHIP	
U.S. Squadron in Asia	SHIP	
U.S.A. cruiser "Detroit"	SHIP	
U.S.A. cruiser "Petrel"	SHIP	
U.S.S. "Charleston"	SHIP	
